소비구분,시도구분,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월,2022년 12월
기타숙박,충청북도,2011118,1842470,2114070,2175409,2423637,2220051,2471325,2584145,2182676,2170891,2139753,2145008,1852394,1719418,2077767,2039907,2175727,2111982,2190704,2463397,1954877,2184162,2037729,2001163,1707907,1539397,1361967,1456141,1752304,1756238,1889939,2034300,1639841,1946278,1850287,1423965,1356169,1361850,1655069,1725491,1924317,1877131,2169678,2108251,1960488,2328967,2247393,2122895,1888922,1738905,1936785,2184575,2287485,2234524,2498497,2726903,2210353,2613663,2264850,2205585
면세점,강원도,4864,7800,12334,11999,11250,14660,10486,13408,13641,15049,6683,6570,14408,6680,18383,9514,17061,13452,7801,7460,3334,5714,4051,3492,8045,4499,9292,5264,5371,5203,6404,5851,4401,2824,4111,1239,2790,2405,11516,6782,9126,7380,5621,6098,4886,3489,3802,1724,1931,2814,8606,8406,8072,8309,10509,7611,7632,8922,12413,9708
면세점,경기도,9075,10954,15989,9426,2103,13823,15829,8892,14623,11207,10385,10557,16338,5481,13699,11634,19044,10573,6371,9297,24386,16970,16513,22095,17044,332,137,138,143,137,320,195,419,359,154,93,200,121,247,271,233,155,232,216,188,102,254,95,124,201,527,265,242,202,129,276,380,268,241,222
면세점,경상남도,1804,911,626,831,601,1932,1614,2012,1291,1265,2645,691,567,1536,892,556,672,836,1188,1706,766,809,796,625,1026,466,268,494,618,710,934,744,478,700,391,452,539,523,505,450,595,366,726,368,340,704,427,279,672,515,224,289,461,725,447,483,573,444,385,237
면세점,경상북도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
면세점,광주광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118236,0,0,0,0,0,0,0,0,0,0,0
면세점,대구광역시,281114,218920,296107,272725,266542,281634,295107,311103,255001,277240,293796,312143,329285,327413,370461,345222,377187,374529,342397,312549,233350,275020,253466,239066,236501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,3109,550,2855,1229,0,0,0,0,0,0,0,0,719,6309,19278,21484,12817,21378,56473,84475
면세점,대전광역시,14670,4978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
면세점,부산광역시,6479094,5216586,4971381,5345617,5564912,5057605,4706484,4416417,4036884,5535121,6036264,5394824,5454264,4290725,5291519,4465816,4232970,5120597,4062419,3372194,3360615,3561036,3743610,3548097,4150744,1230201,58063,5537,11909,19540,30745,28964,66826,132970,156240,153094,103502,58262,70207,104471,202078,200852,113277,101669,143757,149474,133242,172389,0,98405,213637,213447,245209,357914,668947,740208,482785,755208,1252312,1700584
면세점,서울특별시,11541861,9556977,7600884,8219002,8677991,12058494,11374895,10818916,7472470,8773618,9762776,8775373,11838904,9115178,8230886,8144407,8620257,10633052,9744915,7919165,7912787,6999586,8909633,11159804,7888215,2330016,376052,120266,220649,567664,706509,1170367,957621,1212345,1536967,1543167,1693182,1304723,1713624,1819971,1927617,1758766,1658199,1749988,1497444,1640336,2218141,1840917,1799361,1555211,2057168,3131941,3717043,4500294,4692860,4614606,3090468,3239273,5049127,7215524
면세점,울산광역시,16431,15803,19399,16626,8922,8995,11921,8736,5816,3136,11721,4455,10360,14639,9968,13909,21506,5943,6591,4338,5582,6760,4695,4024,1928,7188,416,0,0,0,0,2259,2360,1300,0,0,0,0,0,374,60,0,0,0,0,0,0,0,0,0,1172,0,0,0,0,205,0,0,1772,430
면세점,인천광역시,29169142,26580192,28887695,29404115,29831450,29549616,29355075,30069858,28762693,29330031,28740774,29478960,31217286,29589347,28332523,27914087,28668297,31425110,29715274,28756971,28120920,28525168,27815544,28315879,29526671,13034923,2398356,276216,418204,704238,1066487,1254906,1247675,1207858,1280635,1481928,1386334,1141785,1308435,1314218,1284037,1418147,1690972,1867683,1857475,2289117,2896561,2673612,2482947,2235497,2941778,4655708,6368414,7275845,8020643,8248091,7522647,8561291,9735803,11938434
